entry,at,order
"The player ""Zach Z @ VHwatE4yBu"" quits the game with a stack of 1251.",2024-04-09T05:17:05.846Z,171263982584600
"The player ""Zach Z @ VHwatE4yBu"" passed the room ownership to ""Sai @ 0Y4I9d7s02"".",2024-04-09T05:16:57.464Z,171263981746400
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 1131.",2024-04-09T05:16:39.897Z,171263979989700
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""Zach Z @ VHwatE4yBu"".",2024-04-09T05:16:28.178Z,171263978817800
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 1131.",2024-04-09T05:16:25.682Z,171263978568200
"-- ending hand #419 --",2024-04-09T05:16:22.750Z,171263978275002
"""Zach Z @ VHwatE4yBu"" collected 50 from pot",2024-04-09T05:16:22.750Z,171263978275001
"Uncalled bet of 18 returned to ""Zach Z @ VHwatE4yBu""",2024-04-09T05:16:22.750Z,171263978275000
"""reilly @ FkycgsPCCs"" folds",2024-04-09T05:16:21.934Z,171263978193400
"""Zach Z @ VHwatE4yBu"" bets 18",2024-04-09T05:15:54.741Z,171263975474100
"Flop:  [10♠, 7♥, 3♠]",2024-04-09T05:15:47.649Z,171263974764900
"""reilly @ FkycgsPCCs"" calls 25",2024-04-09T05:15:46.844Z,171263974684400
"""Zach Z @ VHwatE4yBu"" raises to 25",2024-04-09T05:15:40.826Z,171263974082600
"""reilly @ FkycgsPCCs"" raises to 7",2024-04-09T05:15:36.437Z,171263973643700
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-09T05:15:34.299Z,171263973429905
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-09T05:15:34.299Z,171263973429904
"Player stacks: #9 ""Zach Z @ VHwatE4yBu"" (1226) | #10 ""reilly @ FkycgsPCCs"" (1156)",2024-04-09T05:15:34.299Z,171263973429901
"-- starting hand #419 (id: csizq4fuiyhb)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-09T05:15:34.299Z,171263973429900
"-- ending hand #418 --",2024-04-09T05:15:31.367Z,171263973136702
"""Zach Z @ VHwatE4yBu"" collected 6 from pot",2024-04-09T05:15:31.367Z,171263973136701
"Uncalled bet of 4 returned to ""Zach Z @ VHwatE4yBu""",2024-04-09T05:15:31.367Z,171263973136700
"""reilly @ FkycgsPCCs"" folds",2024-04-09T05:15:30.529Z,171263973052900
"""Zach Z @ VHwatE4yBu"" raises to 7",2024-04-09T05:15:29.029Z,171263972902900
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-09T05:15:26.683Z,171263972668305
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-09T05:15:26.683Z,171263972668304
"Player stacks: #9 ""Zach Z @ VHwatE4yBu"" (1223) | #10 ""reilly @ FkycgsPCCs"" (1159)",2024-04-09T05:15:26.683Z,171263972668301
"-- starting hand #418 (id: enip54529vjk)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-09T05:15:26.683Z,171263972668300
"-- ending hand #417 --",2024-04-09T05:15:23.754Z,171263972375402
"""Zach Z @ VHwatE4yBu"" collected 2 from pot",2024-04-09T05:15:23.754Z,171263972375401
"Uncalled bet of 2 returned to ""Zach Z @ VHwatE4yBu""",2024-04-09T05:15:23.754Z,171263972375400
"""reilly @ FkycgsPCCs"" folds",2024-04-09T05:15:22.892Z,171263972289200
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-09T05:15:21.356Z,171263972135605
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-09T05:15:21.356Z,171263972135604
"Player stacks: #9 ""Zach Z @ VHwatE4yBu"" (1222) | #10 ""reilly @ FkycgsPCCs"" (1160)",2024-04-09T05:15:21.356Z,171263972135601
"-- starting hand #417 (id: jcctvof1d03v)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-09T05:15:21.356Z,171263972135600
"-- ending hand #416 --",2024-04-09T05:15:15.278Z,171263971527804
"""reilly @ FkycgsPCCs"" collected 12 from pot with Two Pair, 9's & 5's (combination: 9♦, 9♠, 5♠, 5♣, A♦)",2024-04-09T05:15:15.278Z,171263971527803
"""reilly @ FkycgsPCCs"" shows a 8♠, 5♠.",2024-04-09T05:15:15.278Z,171263971527802
"""Zach Z @ VHwatE4yBu"" collected 12 from pot with Two Pair, 9's & 5's (combination: 9♦, 9♠, 5♦, 5♣, A♦)",2024-04-09T05:15:15.278Z,171263971527801
"""Zach Z @ VHwatE4yBu"" shows a 5♦, Q♦.",2024-04-09T05:15:15.278Z,171263971527800
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:15:14.461Z,171263971446100
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:15:13.377Z,171263971337700
"River: 5♣, 9♦, A♦, 9♠ [J♠]",2024-04-09T05:14:57.647Z,171263969764700
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:14:56.781Z,171263969678100
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:14:53.543Z,171263969354300
"Turn: 5♣, 9♦, A♦ [9♠]",2024-04-09T05:14:51.701Z,171263969170100
"""reilly @ FkycgsPCCs"" calls 5",2024-04-09T05:14:50.841Z,171263969084100
"""Zach Z @ VHwatE4yBu"" bets 5",2024-04-09T05:14:45.111Z,171263968511100
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:14:41.637Z,171263968163700
"Flop:  [5♣, 9♦, A♦]",2024-04-09T05:14:38.608Z,171263967860800
"""reilly @ FkycgsPCCs"" calls 7",2024-04-09T05:14:37.746Z,171263967774600
"""Zach Z @ VHwatE4yBu"" raises to 7",2024-04-09T05:14:34.527Z,171263967452700
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-09T05:14:32.657Z,171263967265705
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-09T05:14:32.657Z,171263967265704
"Player stacks: #9 ""Zach Z @ VHwatE4yBu"" (1222) | #10 ""reilly @ FkycgsPCCs"" (1160)",2024-04-09T05:14:32.657Z,171263967265701
"-- starting hand #416 (id: 5fxrctjocp3l)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-09T05:14:32.657Z,171263967265700
"-- ending hand #415 --",2024-04-09T05:14:26.604Z,171263966660402
"""Zach Z @ VHwatE4yBu"" collected 42 from pot with Full House, A's over 2's (combination: A♦, A♣, A♠, 2♥, 2♠)",2024-04-09T05:14:26.604Z,171263966660401
"""Zach Z @ VHwatE4yBu"" shows a 7♥, A♦.",2024-04-09T05:14:26.604Z,171263966660400
"""reilly @ FkycgsPCCs"" calls 14",2024-04-09T05:14:25.774Z,171263966577400
"""Zach Z @ VHwatE4yBu"" bets 14",2024-04-09T05:14:14.793Z,171263965479300
"River: A♣, 2♥, A♠, 2♠ [J♠]",2024-04-09T05:14:11.074Z,171263965107400
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:14:10.266Z,171263965026600
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:14:02.601Z,171263964260100
"Turn: A♣, 2♥, A♠ [2♠]",2024-04-09T05:14:00.619Z,171263964061900
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:13:59.750Z,171263963975000
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:13:52.368Z,171263963236800
"Flop:  [A♣, 2♥, A♠]",2024-04-09T05:13:51.006Z,171263963100600
"""Zach Z @ VHwatE4yBu"" calls 7",2024-04-09T05:13:50.195Z,171263963019500
"""reilly @ FkycgsPCCs"" raises to 7",2024-04-09T05:13:49.058Z,171263962905800
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-09T05:13:46.087Z,171263962608705
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-09T05:13:46.087Z,171263962608704
"Player stacks: #9 ""Zach Z @ VHwatE4yBu"" (1201) | #10 ""reilly @ FkycgsPCCs"" (1181)",2024-04-09T05:13:46.087Z,171263962608701
"-- starting hand #415 (id: hyrliwnin6t2)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-09T05:13:46.087Z,171263962608700
"-- ending hand #414 --",2024-04-09T05:13:40.075Z,171263962007503
"""Zach Z @ VHwatE4yBu"" shows a 6♠, 4♣.",2024-04-09T05:13:40.075Z,171263962007502
"""reilly @ FkycgsPCCs"" collected 70 from pot with Two Pair, J's & 3's (combination: J♥, J♦, 3♣, 3♦, 10♣)",2024-04-09T05:13:40.075Z,171263962007501
"""reilly @ FkycgsPCCs"" shows a 10♣, J♥.",2024-04-09T05:13:40.075Z,171263962007500
"""reilly @ FkycgsPCCs"" calls 11",2024-04-09T05:13:39.232Z,171263961923200
"""Zach Z @ VHwatE4yBu"" bets 11",2024-04-09T05:13:36.979Z,171263961697900
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:13:29.360Z,171263960936000
"River: J♦, 5♠, 3♣, 9♠ [3♦]",2024-04-09T05:13:20.647Z,171263960064700
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:13:19.843Z,171263959984300
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:13:15.517Z,171263959551700
"Turn: J♦, 5♠, 3♣ [9♠]",2024-04-09T05:13:14.090Z,171263959409000
"""reilly @ FkycgsPCCs"" calls 17",2024-04-09T05:13:13.287Z,171263959328700
"""Zach Z @ VHwatE4yBu"" bets 17",2024-04-09T05:13:06.510Z,171263958651000
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:13:03.708Z,171263958370800
"Flop:  [J♦, 5♠, 3♣]",2024-04-09T05:12:53.469Z,171263957346900
"""reilly @ FkycgsPCCs"" calls 7",2024-04-09T05:12:52.616Z,171263957261600
"The player ""scott s @ vNAV_AAv9J"" passed the room ownership to ""reilly @ FkycgsPCCs"".",2024-04-09T05:12:48.948Z,171263956894800
"""Zach Z @ VHwatE4yBu"" raises to 7",2024-04-09T05:12:48.868Z,171263956886800
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-09T05:12:46.788Z,171263956678806
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-09T05:12:46.788Z,171263956678805
"Player stacks: #9 ""Zach Z @ VHwatE4yBu"" (1236) | #10 ""reilly @ FkycgsPCCs"" (1146)",2024-04-09T05:12:46.788Z,171263956678802
"-- starting hand #414 (id: bbbl6jcasrpt)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-09T05:12:46.788Z,171263956678801
"The player ""scott s @ vNAV_AAv9J"" quits the game with a stack of 0.",2024-04-09T05:12:46.788Z,171263956678800
"-- ending hand #413 --",2024-04-09T05:12:40.777Z,171263956077701
"""reilly @ FkycgsPCCs"" collected 471 from pot with Two Pair, A's & 6's (combination: A♦, A♣, 6♦, 6♣, 5♦)",2024-04-09T05:12:40.777Z,171263956077700
"River: 6♦, 4♥, 3♥, 5♦ [6♣]",2024-04-09T05:12:36.739Z,171263955673900
"Turn: 6♦, 4♥, 3♥ [5♦]",2024-04-09T05:12:32.723Z,171263955272300
"""reilly @ FkycgsPCCs"" shows a A♦, A♣.",2024-04-09T05:12:28.715Z,171263954871501
"""scott s @ vNAV_AAv9J"" shows a J♥, 10♥.",2024-04-09T05:12:28.715Z,171263954871500
"Some players choose to not run it twice.",2024-04-09T05:12:27.905Z,171263954790501
"""scott s @ vNAV_AAv9J"" chooses to not run it twice.",2024-04-09T05:12:27.905Z,171263954790500
"""reilly @ FkycgsPCCs"" chooses to  run it twice.",2024-04-09T05:12:21.004Z,171263954100400
"Remaining players decide whether to run it twice.",2024-04-09T05:12:20.966Z,171263954096601
"""reilly @ FkycgsPCCs"" calls 157",2024-04-09T05:12:20.966Z,171263954096600
"""scott s @ vNAV_AAv9J"" bets 157 and go all in",2024-04-09T05:12:19.884Z,171263953988400
"Flop:  [6♦, 4♥, 3♥]",2024-04-09T05:12:07.455Z,171263952745500
"""scott s @ vNAV_AAv9J"" calls 77",2024-04-09T05:12:06.641Z,171263952664100
"""reilly @ FkycgsPCCs"" raises to 77",2024-04-09T05:12:04.161Z,171263952416100
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:11:48.986Z,171263950898600
"""scott s @ vNAV_AAv9J"" raises to 34",2024-04-09T05:11:46.523Z,171263950652300
"""reilly @ FkycgsPCCs"" raises to 8",2024-04-09T05:11:42.622Z,171263950262200
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-09T05:11:38.984Z,171263949898406
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-04-09T05:11:38.984Z,171263949898405
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (234) | #9 ""Zach Z @ VHwatE4yBu"" (1239) | #10 ""reilly @ FkycgsPCCs"" (909)",2024-04-09T05:11:38.984Z,171263949898401
"-- starting hand #413 (id: udrjxrifufkw)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-09T05:11:38.984Z,171263949898400
"-- ending hand #412 --",2024-04-09T05:11:36.041Z,171263949604102
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-04-09T05:11:36.041Z,171263949604101
"Uncalled bet of 6 returned to ""reilly @ FkycgsPCCs""",2024-04-09T05:11:36.041Z,171263949604100
"""scott s @ vNAV_AAv9J"" folds",2024-04-09T05:11:35.237Z,171263949523700
"""reilly @ FkycgsPCCs"" raises to 9",2024-04-09T05:11:33.908Z,171263949390800
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:11:29.614Z,171263948961400
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-04-09T05:11:28.177Z,171263948817706
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-09T05:11:28.177Z,171263948817705
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (237) | #9 ""Zach Z @ VHwatE4yBu"" (1239) | #10 ""reilly @ FkycgsPCCs"" (906)",2024-04-09T05:11:28.177Z,171263948817701
"-- starting hand #412 (id: nivmqqtza9qi)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-09T05:11:28.177Z,171263948817700
"-- ending hand #411 --",2024-04-09T05:11:25.248Z,171263948524802
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-04-09T05:11:25.248Z,171263948524801
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-04-09T05:11:25.248Z,171263948524800
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:11:24.444Z,171263948444400
"""scott s @ vNAV_AAv9J"" folds",2024-04-09T05:11:23.584Z,171263948358400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-09T05:11:22.438Z,171263948243806
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-09T05:11:22.438Z,171263948243805
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (237) | #9 ""Zach Z @ VHwatE4yBu"" (1240) | #10 ""reilly @ FkycgsPCCs"" (905)",2024-04-09T05:11:22.438Z,171263948243801
"-- starting hand #411 (id: tazay9divvol)  (No Limit Texas Hold'em) (dealer: ""scott s @ vNAV_AAv9J"") --",2024-04-09T05:11:22.438Z,171263948243800
"-- ending hand #410 --",2024-04-09T05:11:19.528Z,171263947952802
"""scott s @ vNAV_AAv9J"" collected 6 from pot",2024-04-09T05:11:19.528Z,171263947952801
"Uncalled bet of 6 returned to ""scott s @ vNAV_AAv9J""",2024-04-09T05:11:19.528Z,171263947952800
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:11:18.666Z,171263947866600
"""scott s @ vNAV_AAv9J"" raises to 9",2024-04-09T05:11:17.513Z,171263947751300
"""reilly @ FkycgsPCCs"" folds",2024-04-09T05:11:13.380Z,171263947338000
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-09T05:11:10.829Z,171263947082906
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-04-09T05:11:10.829Z,171263947082905
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (234) | #9 ""Zach Z @ VHwatE4yBu"" (1243) | #10 ""reilly @ FkycgsPCCs"" (905)",2024-04-09T05:11:10.829Z,171263947082901
"-- starting hand #410 (id: qtezkdmlg9ie)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-09T05:11:10.829Z,171263947082900
"-- ending hand #409 --",2024-04-09T05:11:07.889Z,171263946788902
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-04-09T05:11:07.889Z,171263946788901
"Uncalled bet of 6 returned to ""reilly @ FkycgsPCCs""",2024-04-09T05:11:07.889Z,171263946788900
"""scott s @ vNAV_AAv9J"" folds",2024-04-09T05:11:07.029Z,171263946702900
"""reilly @ FkycgsPCCs"" raises to 9",2024-04-09T05:11:05.869Z,171263946586900
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:11:03.698Z,171263946369800
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-04-09T05:11:02.774Z,171263946277406
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-09T05:11:02.774Z,171263946277405
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (237) | #9 ""Zach Z @ VHwatE4yBu"" (1243) | #10 ""reilly @ FkycgsPCCs"" (902)",2024-04-09T05:11:02.774Z,171263946277401
"-- starting hand #409 (id: gs5olaljhhf7)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-09T05:11:02.774Z,171263946277400
"-- ending hand #408 --",2024-04-09T05:10:59.857Z,171263945985702
"""scott s @ vNAV_AAv9J"" collected 15 from pot",2024-04-09T05:10:59.857Z,171263945985701
"Uncalled bet of 7 returned to ""scott s @ vNAV_AAv9J""",2024-04-09T05:10:59.857Z,171263945985700
"""reilly @ FkycgsPCCs"" folds",2024-04-09T05:10:59.018Z,171263945901800
"""scott s @ vNAV_AAv9J"" raises to 11",2024-04-09T05:10:44.940Z,171263944494000
"""reilly @ FkycgsPCCs"" bets 4",2024-04-09T05:10:38.314Z,171263943831400
"Flop:  [6♥, A♣, 5♦]",2024-04-09T05:10:33.429Z,171263943342900
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:10:32.586Z,171263943258600
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:10:31.127Z,171263943112700
"""scott s @ vNAV_AAv9J"" calls 3",2024-04-09T05:10:30.242Z,171263943024200
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-09T05:10:28.696Z,171263942869606
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-09T05:10:28.696Z,171263942869605
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (229) | #9 ""Zach Z @ VHwatE4yBu"" (1244) | #10 ""reilly @ FkycgsPCCs"" (909)",2024-04-09T05:10:28.696Z,171263942869601
"-- starting hand #408 (id: 15pkxgt0hjp5)  (No Limit Texas Hold'em) (dealer: ""scott s @ vNAV_AAv9J"") --",2024-04-09T05:10:28.696Z,171263942869600
"-- ending hand #407 --",2024-04-09T05:10:22.679Z,171263942267902
"""reilly @ FkycgsPCCs"" collected 283 from pot with Flush, Ah High (combination: A♥, K♥, J♥, 10♥, 8♥)",2024-04-09T05:10:22.679Z,171263942267901
"""reilly @ FkycgsPCCs"" shows a A♥, 2♦.",2024-04-09T05:10:22.679Z,171263942267900
"""Zach Z @ VHwatE4yBu"" calls 95",2024-04-09T05:10:21.804Z,171263942180400
"""reilly @ FkycgsPCCs"" raises to 95",2024-04-09T05:10:19.975Z,171263941997500
"""Zach Z @ VHwatE4yBu"" bets 35",2024-04-09T05:09:37.952Z,171263937795200
"River: Q♣, J♥, 8♥, K♥ [10♥]",2024-04-09T05:09:26.982Z,171263936698200
"""Zach Z @ VHwatE4yBu"" calls 38",2024-04-09T05:09:26.167Z,171263936616700
"""reilly @ FkycgsPCCs"" raises to 38",2024-04-09T05:09:21.105Z,171263936110500
"""Zach Z @ VHwatE4yBu"" bets 12",2024-04-09T05:09:02.086Z,171263934208600
"Turn: Q♣, J♥, 8♥ [K♥]",2024-04-09T05:08:57.557Z,171263933755700
"""reilly @ FkycgsPCCs"" checks",2024-04-09T05:08:56.709Z,171263933670900
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:08:39.705Z,171263931970500
"Flop:  [Q♣, J♥, 8♥]",2024-04-09T05:08:37.217Z,171263931721700
"""Zach Z @ VHwatE4yBu"" calls 8",2024-04-09T05:08:36.406Z,171263931640600
"""scott s @ vNAV_AAv9J"" folds",2024-04-09T05:08:34.580Z,171263931458000
"""reilly @ FkycgsPCCs"" raises to 8",2024-04-09T05:08:33.444Z,171263931344400
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-09T05:08:28.931Z,171263930893106
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-04-09T05:08:28.931Z,171263930893105
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (230) | #9 ""Zach Z @ VHwatE4yBu"" (1385) | #10 ""reilly @ FkycgsPCCs"" (767)",2024-04-09T05:08:28.931Z,171263930893101
"-- starting hand #407 (id: 47si2n5guzr4)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-09T05:08:28.931Z,171263930893100
"-- ending hand #406 --",2024-04-09T05:08:25.928Z,171263930592802
"""scott s @ vNAV_AAv9J"" collected 17 from pot",2024-04-09T05:08:25.928Z,171263930592801
"Uncalled bet of 23 returned to ""scott s @ vNAV_AAv9J""",2024-04-09T05:08:25.928Z,171263930592800
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:08:25.095Z,171263930509500
"""scott s @ vNAV_AAv9J"" raises to 31",2024-04-09T05:08:23.869Z,171263930386900
"""reilly @ FkycgsPCCs"" folds",2024-04-09T05:08:14.725Z,171263929472500
"""Zach Z @ VHwatE4yBu"" raises to 8",2024-04-09T05:08:10.227Z,171263929022700
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-04-09T05:08:07.860Z,171263928786006
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-09T05:08:07.860Z,171263928786005
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (221) | #9 ""Zach Z @ VHwatE4yBu"" (1393) | #10 ""reilly @ FkycgsPCCs"" (768)",2024-04-09T05:08:07.860Z,171263928786001
"-- starting hand #406 (id: mliauixtcywj)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-09T05:08:07.860Z,171263928786000
"-- ending hand #405 --",2024-04-09T05:08:04.948Z,171263928494802
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-04-09T05:08:04.948Z,171263928494801
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-04-09T05:08:04.948Z,171263928494800
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:08:04.116Z,171263928411600
"""scott s @ vNAV_AAv9J"" folds",2024-04-09T05:08:03.177Z,171263928317700
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-09T05:08:01.845Z,171263928184506
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-09T05:08:01.845Z,171263928184505
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (221) | #9 ""Zach Z @ VHwatE4yBu"" (1394) | #10 ""reilly @ FkycgsPCCs"" (767)",2024-04-09T05:08:01.845Z,171263928184501
"-- starting hand #405 (id: qlvi2zqjlut1)  (No Limit Texas Hold'em) (dealer: ""scott s @ vNAV_AAv9J"") --",2024-04-09T05:08:01.845Z,171263928184500
"-- ending hand #404 --",2024-04-09T05:07:58.869Z,171263927886902
"""reilly @ FkycgsPCCs"" collected 7 from pot",2024-04-09T05:07:58.869Z,171263927886901
"Uncalled bet of 5 returned to ""reilly @ FkycgsPCCs""",2024-04-09T05:07:58.869Z,171263927886900
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:07:58.015Z,171263927801500
"""scott s @ vNAV_AAv9J"" folds",2024-04-09T05:07:57.125Z,171263927712500
"""reilly @ FkycgsPCCs"" raises to 8",2024-04-09T05:07:56.064Z,171263927606400
"""Zach Z @ VHwatE4yBu"" posts a big blind of 3",2024-04-09T05:07:53.808Z,171263927380806
"""scott s @ vNAV_AAv9J"" posts a small blind of 1",2024-04-09T05:07:53.808Z,171263927380805
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (222) | #9 ""Zach Z @ VHwatE4yBu"" (1397) | #10 ""reilly @ FkycgsPCCs"" (763)",2024-04-09T05:07:53.808Z,171263927380801
"-- starting hand #404 (id: 66fb1epx9nee)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-04-09T05:07:53.808Z,171263927380800
"-- ending hand #403 --",2024-04-09T05:07:47.796Z,171263926779602
"""scott s @ vNAV_AAv9J"" collected 57 from pot with Two Pair, J's & 10's (combination: J♣, J♦, 10♣, 10♦, K♥)",2024-04-09T05:07:47.796Z,171263926779601
"""scott s @ vNAV_AAv9J"" shows a K♥, J♣.",2024-04-09T05:07:47.796Z,171263926779600
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:07:46.942Z,171263926694200
"""scott s @ vNAV_AAv9J"" checks",2024-04-09T05:07:45.747Z,171263926574700
"River: 10♣, 4♥, 10♦, J♦ [2♣]",2024-04-09T05:07:42.652Z,171263926265200
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:07:41.827Z,171263926182700
"""scott s @ vNAV_AAv9J"" checks",2024-04-09T05:07:38.413Z,171263925841300
"Turn: 10♣, 4♥, 10♦ [J♦]",2024-04-09T05:07:34.637Z,171263925463700
"""Zach Z @ VHwatE4yBu"" checks",2024-04-09T05:07:33.820Z,171263925382000
"""scott s @ vNAV_AAv9J"" checks",2024-04-09T05:07:30.216Z,171263925021600
"Flop:  [10♣, 4♥, 10♦]",2024-04-09T05:07:17.816Z,171263923781600
"""Zach Z @ VHwatE4yBu"" calls 28",2024-04-09T05:07:16.985Z,171263923698500
"""scott s @ vNAV_AAv9J"" raises to 28",2024-04-09T05:07:13.332Z,171263923333200
"""reilly @ FkycgsPCCs"" folds",2024-04-09T05:07:07.401Z,171263922740100
"""Zach Z @ VHwatE4yBu"" raises to 8",2024-04-09T05:07:03.825Z,171263922382500
"""scott s @ vNAV_AAv9J"" posts a big blind of 3",2024-04-09T05:07:01.994Z,171263922199406
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-04-09T05:07:01.994Z,171263922199405
"Player stacks: #1 ""scott s @ vNAV_AAv9J"" (193) | #9 ""Zach Z @ VHwatE4yBu"" (1425) | #10 ""reilly @ FkycgsPCCs"" (764)",2024-04-09T05:07:01.994Z,171263922199401
"-- starting hand #403 (id: xgo7wpr0cmjo)  (No Limit Texas Hold'em) (dealer: ""Zach Z @ VHwatE4yBu"") --",2024-04-09T05:07:01.994Z,171263922199400
"-- ending hand #402 --",2024-04-09T05:06:59.039Z,171263921903902
"""reilly @ FkycgsPCCs"" collected 2 from pot",2024-04-09T05:06:59.039Z,171263921903901
"Uncalled bet of 2 returned to ""reilly @ FkycgsPCCs""",2024-04-09T05:06:59.039Z,171263921903900
"""Zach Z @ VHwatE4yBu"" folds",2024-04-09T05:06:58.229Z,171263921822900
"""scott s @ vNAV_AAv9J"" folds",2024-04-09T05:06:57.332Z,171263921733200
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-04-09T05:06:56.033Z,171263921603306
"""Zach Z @ VHwatE4yBu"" posts a small blind of 1",2024-04-09T05:06:56.033Z,171263921603305
