entry,at,order
"The player ""bozo @ UtGUxnTvMN"" stand up with the stack of 4692.",2024-04-28T06:09:27.681Z,171428456768100
"-- ending hand #1156 --",2024-04-28T06:09:24.773Z,171428456477302
"""Peen @ feBi5UdKXb"" collected 480 from pot",2024-04-28T06:09:24.773Z,171428456477301
"Uncalled bet of 150 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:09:24.773Z,171428456477300
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:09:23.960Z,171428456396000
"""Peen @ feBi5UdKXb"" bets 150",2024-04-28T06:09:16.433Z,171428455643300
"River: 10♣, J♦, 10♦, A♦ [9♠]",2024-04-28T06:09:04.943Z,171428454494300
"""bozo @ UtGUxnTvMN"" checks",2024-04-28T06:09:04.118Z,171428454411800
"""Peen @ feBi5UdKXb"" checks",2024-04-28T06:09:02.190Z,171428454219000
"Turn: 10♣, J♦, 10♦ [A♦]",2024-04-28T06:09:00.037Z,171428454003700
"""Peen @ feBi5UdKXb"" calls 120",2024-04-28T06:08:59.165Z,171428453916500
"""bozo @ UtGUxnTvMN"" bets 120",2024-04-28T06:08:40.449Z,171428452044900
"""Peen @ feBi5UdKXb"" checks",2024-04-28T06:08:33.280Z,171428451328000
"Flop:  [10♣, J♦, 10♦]",2024-04-28T06:08:13.252Z,171428449325200
"""bozo @ UtGUxnTvMN"" calls 120",2024-04-28T06:08:12.438Z,171428449243800
"""Peen @ feBi5UdKXb"" raises to 120",2024-04-28T06:08:11.315Z,171428449131500
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:07:59.826Z,171428447982606
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:07:59.826Z,171428447982605
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:07:59.826Z,171428447982604
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (4932) | #6 ""Peen @ feBi5UdKXb"" (17108)",2024-04-28T06:07:59.826Z,171428447982601
"-- starting hand #1156 (id: 3gryckkgg7wd)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:07:59.826Z,171428447982600
"-- ending hand #1155 --",2024-04-28T06:07:53.812Z,171428447381202
"""bozo @ UtGUxnTvMN"" collected 80 from pot",2024-04-28T06:07:53.812Z,171428447381201
"Uncalled bet of 80 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:07:53.812Z,171428447381200
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:07:52.952Z,171428447295200
"""bozo @ UtGUxnTvMN"" raises to 120",2024-04-28T06:07:51.919Z,171428447191900
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:07:47.404Z,171428446740406
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:07:47.404Z,171428446740405
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:07:47.404Z,171428446740404
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (4892) | #6 ""Peen @ feBi5UdKXb"" (17148)",2024-04-28T06:07:47.404Z,171428446740401
"-- starting hand #1155 (id: jztosjlhen4l)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:07:47.404Z,171428446740400
"-- ending hand #1154 --",2024-04-28T06:07:44.446Z,171428446444602
"""bozo @ UtGUxnTvMN"" collected 40 from pot",2024-04-28T06:07:44.446Z,171428446444601
"Uncalled bet of 20 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:07:44.446Z,171428446444600
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:07:43.600Z,171428446360000
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:07:23.576Z,171428444357606
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:07:23.576Z,171428444357605
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:07:23.576Z,171428444357604
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (4872) | #6 ""Peen @ feBi5UdKXb"" (17168)",2024-04-28T06:07:23.576Z,171428444357601
"-- starting hand #1154 (id: ntwwgsfzxu2s)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:07:23.576Z,171428444357600
"-- ending hand #1153 --",2024-04-28T06:07:17.576Z,171428443757602
"""Peen @ feBi5UdKXb"" collected 40 from pot",2024-04-28T06:07:17.576Z,171428443757601
"Uncalled bet of 20 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:07:17.576Z,171428443757600
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:07:16.767Z,171428443676700
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:07:03.148Z,171428442314806
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:07:03.148Z,171428442314805
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:07:03.148Z,171428442314804
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (4892) | #6 ""Peen @ feBi5UdKXb"" (17148)",2024-04-28T06:07:03.148Z,171428442314801
"-- starting hand #1153 (id: fudgl8tlfa42)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:07:03.148Z,171428442314800
"-- ending hand #1152 --",2024-04-28T06:06:57.113Z,171428441711302
"""Peen @ feBi5UdKXb"" collected 600 from pot with Pair, Q's (combination: Q♥, Q♣, K♥, J♣, 9♦)",2024-04-28T06:06:57.113Z,171428441711301
"""Peen @ feBi5UdKXb"" shows a 9♦, Q♥.",2024-04-28T06:06:57.113Z,171428441711300
"""bozo @ UtGUxnTvMN"" checks",2024-04-28T06:06:56.244Z,171428441624400
"""Peen @ feBi5UdKXb"" checks",2024-04-28T06:06:53.329Z,171428441332900
"River: 8♥, J♣, 2♦, Q♣ [K♥]",2024-04-28T06:06:50.706Z,171428441070600
"""bozo @ UtGUxnTvMN"" checks",2024-04-28T06:06:49.823Z,171428440982300
"""Peen @ feBi5UdKXb"" checks",2024-04-28T06:06:47.404Z,171428440740400
"Turn: 8♥, J♣, 2♦ [Q♣]",2024-04-28T06:06:44.099Z,171428440409900
"""bozo @ UtGUxnTvMN"" calls 180",2024-04-28T06:06:43.218Z,171428440321800
"""Peen @ feBi5UdKXb"" bets 180",2024-04-28T06:06:40.525Z,171428440052500
"Flop:  [8♥, J♣, 2♦]",2024-04-28T06:06:36.006Z,171428439600600
"""bozo @ UtGUxnTvMN"" calls 120",2024-04-28T06:06:35.160Z,171428439516000
"""Peen @ feBi5UdKXb"" raises to 120",2024-04-28T06:06:28.719Z,171428438871900
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:06:16.653Z,171428437665306
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:06:16.653Z,171428437665305
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:06:16.653Z,171428437665304
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5192) | #6 ""Peen @ feBi5UdKXb"" (16848)",2024-04-28T06:06:16.653Z,171428437665301
"-- starting hand #1152 (id: zhezfa6ggtyj)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:06:16.653Z,171428437665300
"-- ending hand #1151 --",2024-04-28T06:06:13.719Z,171428437371902
"""Peen @ feBi5UdKXb"" collected 40 from pot",2024-04-28T06:06:13.719Z,171428437371901
"Uncalled bet of 20 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:06:13.719Z,171428437371900
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:06:12.891Z,171428437289100
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:06:11.314Z,171428437131406
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:06:11.314Z,171428437131405
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:06:11.314Z,171428437131404
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5212) | #6 ""Peen @ feBi5UdKXb"" (16828)",2024-04-28T06:06:11.314Z,171428437131401
"-- starting hand #1151 (id: nd3svewurcfr)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:06:11.314Z,171428437131400
"-- ending hand #1150 --",2024-04-28T06:06:05.348Z,171428436534802
"""Peen @ feBi5UdKXb"" collected 80 from pot",2024-04-28T06:06:05.348Z,171428436534801
"Uncalled bet of 80 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:06:05.348Z,171428436534800
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:06:04.522Z,171428436452200
"""Peen @ feBi5UdKXb"" raises to 120",2024-04-28T06:05:55.875Z,171428435587500
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:05:37.464Z,171428433746406
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:05:37.464Z,171428433746405
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:05:37.464Z,171428433746404
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5252) | #6 ""Peen @ feBi5UdKXb"" (16788)",2024-04-28T06:05:37.464Z,171428433746401
"-- starting hand #1150 (id: ouuds251qkth)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:05:37.464Z,171428433746400
"-- ending hand #1149 --",2024-04-28T06:05:34.495Z,171428433449502
"""Peen @ feBi5UdKXb"" collected 40 from pot",2024-04-28T06:05:34.495Z,171428433449501
"Uncalled bet of 20 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:05:34.495Z,171428433449500
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:05:33.673Z,171428433367300
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:05:31.265Z,171428433126506
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:05:31.265Z,171428433126505
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:05:31.265Z,171428433126504
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5272) | #6 ""Peen @ feBi5UdKXb"" (16768)",2024-04-28T06:05:31.265Z,171428433126501
"-- starting hand #1149 (id: 6tc5p6gan4by)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:05:31.265Z,171428433126500
"-- ending hand #1148 --",2024-04-28T06:05:25.262Z,171428432526202
"""bozo @ UtGUxnTvMN"" collected 40 from pot",2024-04-28T06:05:25.262Z,171428432526201
"Uncalled bet of 20 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:05:25.262Z,171428432526200
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:05:24.381Z,171428432438100
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:05:07.431Z,171428430743106
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:05:07.431Z,171428430743105
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:05:07.431Z,171428430743104
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5252) | #6 ""Peen @ feBi5UdKXb"" (16788)",2024-04-28T06:05:07.431Z,171428430743101
"-- starting hand #1148 (id: nxyb4hd40gy2)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:05:07.431Z,171428430743100
"-- ending hand #1147 --",2024-04-28T06:05:01.500Z,171428430150002
"""Peen @ feBi5UdKXb"" collected 40 from pot",2024-04-28T06:05:01.500Z,171428430150001
"Uncalled bet of 20 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:05:01.500Z,171428430150000
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:05:00.694Z,171428430069400
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:04:53.407Z,171428429340706
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:04:53.407Z,171428429340705
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:04:53.407Z,171428429340704
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5272) | #6 ""Peen @ feBi5UdKXb"" (16768)",2024-04-28T06:04:53.407Z,171428429340701
"-- starting hand #1147 (id: ihcgjpzav2zm)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:04:53.407Z,171428429340700
"-- ending hand #1146 --",2024-04-28T06:04:50.474Z,171428429047402
"""bozo @ UtGUxnTvMN"" collected 40 from pot",2024-04-28T06:04:50.474Z,171428429047401
"Uncalled bet of 20 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:04:50.474Z,171428429047400
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:04:49.657Z,171428428965700
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:04:48.197Z,171428428819706
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:04:48.197Z,171428428819705
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:04:48.197Z,171428428819704
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5252) | #6 ""Peen @ feBi5UdKXb"" (16788)",2024-04-28T06:04:48.197Z,171428428819701
"-- starting hand #1146 (id: 52pdpgvo3ica)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:04:48.197Z,171428428819700
"-- ending hand #1145 --",2024-04-28T06:04:42.177Z,171428428217702
"""bozo @ UtGUxnTvMN"" collected 80 from pot",2024-04-28T06:04:42.177Z,171428428217701
"Uncalled bet of 80 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:04:42.177Z,171428428217700
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:04:41.271Z,171428428127100
"""bozo @ UtGUxnTvMN"" raises to 120",2024-04-28T06:04:39.163Z,171428427916300
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:04:37.570Z,171428427757006
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:04:37.570Z,171428427757005
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:04:37.570Z,171428427757004
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5212) | #6 ""Peen @ feBi5UdKXb"" (16828)",2024-04-28T06:04:37.570Z,171428427757001
"-- starting hand #1145 (id: kmsnhudg4iud)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:04:37.570Z,171428427757000
"-- ending hand #1144 --",2024-04-28T06:04:31.639Z,171428427163902
"""bozo @ UtGUxnTvMN"" collected 40 from pot",2024-04-28T06:04:31.639Z,171428427163901
"Uncalled bet of 20 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:04:31.639Z,171428427163900
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:04:30.791Z,171428427079100
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:04:17.952Z,171428425795206
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:04:17.952Z,171428425795205
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:04:17.952Z,171428425795204
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5192) | #6 ""Peen @ feBi5UdKXb"" (16848)",2024-04-28T06:04:17.952Z,171428425795201
"-- starting hand #1144 (id: ggmkzhpztgnf)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:04:17.952Z,171428425795200
"-- ending hand #1143 --",2024-04-28T06:04:12.026Z,171428425202602
"""bozo @ UtGUxnTvMN"" collected 240 from pot",2024-04-28T06:04:12.026Z,171428425202601
"Uncalled bet of 100 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:04:12.026Z,171428425202600
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:04:11.191Z,171428425119100
"""bozo @ UtGUxnTvMN"" bets 100",2024-04-28T06:04:06.113Z,171428424611300
"Flop:  [J♣, 4♠, A♥]",2024-04-28T06:04:03.137Z,171428424313700
"""Peen @ feBi5UdKXb"" calls 120",2024-04-28T06:04:02.291Z,171428424229100
"""bozo @ UtGUxnTvMN"" raises to 120",2024-04-28T06:04:00.372Z,171428424037200
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:03:52.635Z,171428423263506
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:03:52.635Z,171428423263505
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:03:52.635Z,171428423263504
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5072) | #6 ""Peen @ feBi5UdKXb"" (16968)",2024-04-28T06:03:52.635Z,171428423263501
"-- starting hand #1143 (id: w0mbk72u0yyg)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:03:52.635Z,171428423263500
"-- ending hand #1142 --",2024-04-28T06:03:49.734Z,171428422973402
"""bozo @ UtGUxnTvMN"" collected 40 from pot",2024-04-28T06:03:49.734Z,171428422973401
"Uncalled bet of 20 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:03:49.734Z,171428422973400
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:03:48.865Z,171428422886500
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:03:47.129Z,171428422712906
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:03:47.129Z,171428422712905
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:03:47.129Z,171428422712904
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5052) | #6 ""Peen @ feBi5UdKXb"" (16988)",2024-04-28T06:03:47.129Z,171428422712901
"-- starting hand #1142 (id: dldcytjdgtrg)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:03:47.129Z,171428422712900
"-- ending hand #1141 --",2024-04-28T06:03:41.147Z,171428422114702
"""Peen @ feBi5UdKXb"" collected 40 from pot",2024-04-28T06:03:41.147Z,171428422114701
"Uncalled bet of 20 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:03:41.147Z,171428422114700
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:03:40.240Z,171428422024000
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:03:39.325Z,171428421932506
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:03:39.325Z,171428421932505
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:03:39.325Z,171428421932504
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5072) | #6 ""Peen @ feBi5UdKXb"" (16968)",2024-04-28T06:03:39.325Z,171428421932501
"-- starting hand #1141 (id: criikr34lbbz)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:03:39.325Z,171428421932500
"-- ending hand #1140 --",2024-04-28T06:03:33.318Z,171428421331802
"""bozo @ UtGUxnTvMN"" collected 40 from pot",2024-04-28T06:03:33.318Z,171428421331801
"Uncalled bet of 20 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:03:33.318Z,171428421331800
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:03:32.487Z,171428421248700
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:03:19.075Z,171428419907506
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:03:19.075Z,171428419907505
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:03:19.075Z,171428419907504
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5052) | #6 ""Peen @ feBi5UdKXb"" (16988)",2024-04-28T06:03:19.075Z,171428419907501
"-- starting hand #1140 (id: xwsqspr3nj8s)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:03:19.075Z,171428419907500
"-- ending hand #1139 --",2024-04-28T06:03:16.076Z,171428419607602
"""Peen @ feBi5UdKXb"" collected 40 from pot",2024-04-28T06:03:16.076Z,171428419607601
"Uncalled bet of 20 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:03:16.076Z,171428419607600
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:03:15.224Z,171428419522400
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:03:14.275Z,171428419427506
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:03:14.275Z,171428419427505
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:03:14.275Z,171428419427504
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5072) | #6 ""Peen @ feBi5UdKXb"" (16968)",2024-04-28T06:03:14.275Z,171428419427501
"-- starting hand #1139 (id: hcdujbgdvkws)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:03:14.275Z,171428419427500
"-- ending hand #1138 --",2024-04-28T06:03:08.286Z,171428418828602
"""bozo @ UtGUxnTvMN"" collected 40 from pot",2024-04-28T06:03:08.286Z,171428418828601
"Uncalled bet of 20 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:03:08.286Z,171428418828600
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:03:07.464Z,171428418746400
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:03:03.659Z,171428418365906
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:03:03.659Z,171428418365905
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:03:03.659Z,171428418365904
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5052) | #6 ""Peen @ feBi5UdKXb"" (16988)",2024-04-28T06:03:03.659Z,171428418365901
"-- starting hand #1138 (id: sucglimav6hm)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:03:03.659Z,171428418365900
"-- ending hand #1137 --",2024-04-28T06:02:57.648Z,171428417764802
"""Peen @ feBi5UdKXb"" collected 40 from pot",2024-04-28T06:02:57.648Z,171428417764801
"Uncalled bet of 20 returned to ""Peen @ feBi5UdKXb""",2024-04-28T06:02:57.648Z,171428417764800
"""bozo @ UtGUxnTvMN"" folds",2024-04-28T06:02:56.840Z,171428417684000
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:02:55.732Z,171428417573206
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:02:55.732Z,171428417573205
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:02:55.732Z,171428417573204
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (5072) | #6 ""Peen @ feBi5UdKXb"" (16968)",2024-04-28T06:02:55.732Z,171428417573201
"-- starting hand #1137 (id: k3thqya6ejqc)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:02:55.732Z,171428417573200
"-- ending hand #1136 --",2024-04-28T06:02:49.808Z,171428416980802
"""bozo @ UtGUxnTvMN"" collected 240 from pot",2024-04-28T06:02:49.808Z,171428416980801
"Uncalled bet of 120 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:02:49.808Z,171428416980800
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:02:48.926Z,171428416892600
"""bozo @ UtGUxnTvMN"" bets 120",2024-04-28T06:02:47.295Z,171428416729500
"""Peen @ feBi5UdKXb"" checks",2024-04-28T06:02:44.675Z,171428416467500
"Flop:  [9♥, J♦, 3♣]",2024-04-28T06:02:42.308Z,171428416230800
"""bozo @ UtGUxnTvMN"" calls 120",2024-04-28T06:02:41.477Z,171428416147700
"""Peen @ feBi5UdKXb"" raises to 120",2024-04-28T06:02:39.913Z,171428415991300
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:02:37.196Z,171428415719606
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:02:37.196Z,171428415719605
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:02:37.196Z,171428415719604
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (4952) | #6 ""Peen @ feBi5UdKXb"" (17088)",2024-04-28T06:02:37.196Z,171428415719601
"-- starting hand #1136 (id: bqmgu7gngqby)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:02:37.196Z,171428415719600
"-- ending hand #1135 --",2024-04-28T06:02:31.187Z,171428415118702
"""bozo @ UtGUxnTvMN"" collected 80 from pot",2024-04-28T06:02:31.187Z,171428415118701
"Uncalled bet of 80 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:02:31.187Z,171428415118700
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:02:30.343Z,171428415034300
"""bozo @ UtGUxnTvMN"" raises to 120",2024-04-28T06:02:24.679Z,171428414467900
"""Peen @ feBi5UdKXb"" posts a straddle of 40",2024-04-28T06:02:22.894Z,171428414289406
"""bozo @ UtGUxnTvMN"" posts a big blind of 20",2024-04-28T06:02:22.894Z,171428414289405
"""Peen @ feBi5UdKXb"" posts a small blind of 10",2024-04-28T06:02:22.894Z,171428414289404
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (4912) | #6 ""Peen @ feBi5UdKXb"" (17128)",2024-04-28T06:02:22.894Z,171428414289401
"-- starting hand #1135 (id: ilyebwtch4dl)  (No Limit Texas Hold'em) (dealer: ""Peen @ feBi5UdKXb"") --",2024-04-28T06:02:22.894Z,171428414289400
"-- ending hand #1134 --",2024-04-28T06:02:16.957Z,171428413695702
"""bozo @ UtGUxnTvMN"" collected 1800 from pot",2024-04-28T06:02:16.957Z,171428413695701
"Uncalled bet of 3112 returned to ""bozo @ UtGUxnTvMN""",2024-04-28T06:02:16.957Z,171428413695700
"""Peen @ feBi5UdKXb"" folds",2024-04-28T06:02:16.109Z,171428413610900
"""bozo @ UtGUxnTvMN"" bets 3112 and go all in",2024-04-28T06:01:49.014Z,171428410901400
"""Peen @ feBi5UdKXb"" checks",2024-04-28T06:01:43.821Z,171428410382100
"Turn: 10♠, Q♦, A♠ [Q♣]",2024-04-28T06:01:39.573Z,171428409957300
"""Peen @ feBi5UdKXb"" calls 540",2024-04-28T06:01:38.769Z,171428409876900
"""bozo @ UtGUxnTvMN"" bets 540",2024-04-28T06:01:37.479Z,171428409747900
"""Peen @ feBi5UdKXb"" checks",2024-04-28T06:01:35.054Z,171428409505400
"Flop:  [10♠, Q♦, A♠]",2024-04-28T06:01:33.111Z,171428409311100
"""Peen @ feBi5UdKXb"" calls 360",2024-04-28T06:01:32.285Z,171428409228500
"""bozo @ UtGUxnTvMN"" raises to 360",2024-04-28T06:01:30.986Z,171428409098600
"""Peen @ feBi5UdKXb"" raises to 120",2024-04-28T06:01:28.933Z,171428408893300
"""bozo @ UtGUxnTvMN"" posts a straddle of 40",2024-04-28T06:01:26.305Z,171428408630506
"""Peen @ feBi5UdKXb"" posts a big blind of 20",2024-04-28T06:01:26.305Z,171428408630505
"""bozo @ UtGUxnTvMN"" posts a small blind of 10",2024-04-28T06:01:26.305Z,171428408630504
"Player stacks: #1 ""bozo @ UtGUxnTvMN"" (4012) | #6 ""Peen @ feBi5UdKXb"" (18028)",2024-04-28T06:01:26.305Z,171428408630501
"-- starting hand #1134 (id: tgpectxxcwj6)  (No Limit Texas Hold'em) (dealer: ""bozo @ UtGUxnTvMN"") --",2024-04-28T06:01:26.305Z,171428408630500
"-- ending hand #1133 --",2024-04-28T06:01:20.330Z,171428408033002
